# Clip ID (Unique, used only internally); Clip Prefix (Unique); Video Session; Starting Time (ms);  Ending Time (ms); Action Label; Verb Label; Noun Label(s)
1; P05-R01-PastaSalad-583261-586055; P05-R01-PastaSalad; 583261; 586055; Cut tomato; Cut; tomato
25; P23-R03-BaconAndEggs-737276-740451; P23-R03-BaconAndEggs; 737276; 740451; Take pan; Take; pan
26; P23-R03-BaconAndEggs-251210-252509; P23-R03-BaconAndEggs; 251210; 252509; Take seasoning_container; Take; seasoning_container
27; OP02-R02-TurkeySandwich-279480-280390; OP02-R02-TurkeySandwich; 279480; 280390; Take eating_utensil; Take; eating_utensil
28; P21-R06-GreekSalad-840344-841642; P21-R06-GreekSalad; 840344; 841642; Take unknown; Take; unknown
29; P09-R01-PastaSalad-612369-613305; P09-R01-PastaSalad; 612369; 613305; Take eating_utensil; Take; eating_utensil
31; P17-R03-BaconAndEggs-613858-620129; P17-R03-BaconAndEggs; 613858; 620129; Operate stove; Operate; stove
32; P01-R02-TurkeySandwich-541722-543639; P01-R02-TurkeySandwich; 541722; 543639; Put deli_meat; Put; deli_meat
33; OP02-R03-BaconAndEggs-395400-397150; OP02-R03-BaconAndEggs; 395400; 397150; Take cup; Take; cup
34; P04-R01-PastaSalad-1074583-1080384; P04-R01-PastaSalad; 1074583; 1080384; Transfer unknown,cutting_board,bowl; Transfer; unknown,cutting_board,bowl
36; P23-R03-BaconAndEggs-2426011-2427009; P23-R03-BaconAndEggs; 2426011; 2427009; Move Around washing_liquid_container; Move Around; washing_liquid_container
37; OP04-R05-Cheeseburger-78640-82050; OP04-R05-Cheeseburger; 78640; 82050; Cut bread; Cut; bread
38; P01-R02-TurkeySandwich-864820-865892; P01-R02-TurkeySandwich; 864820; 865892; Turn on faucet; Turn on; faucet
39; P01-R01-PastaSalad-71582-72746; P01-R01-PastaSalad; 71582; 72746; Take pan; Take; pan
40; OP01-R05-Cheeseburger-349850-351440; OP01-R05-Cheeseburger; 349850; 351440; Open fridge; Open; fridge
41; P19-R03-BaconAndEggs-432886-435610; P19-R03-BaconAndEggs; 432886; 435610; Put pan; Put; pan
42; P21-R05-Cheeseburger-677981-679490; P21-R05-Cheeseburger; 677981; 679490; Put condiment_container; Put; condiment_container
43; OP02-R06-GreekSalad-37500-40833; OP02-R06-GreekSalad; 37500; 40833; Take plate; Take; plate
44; P09-R02-TurkeySandwich-110550-113100; P09-R02-TurkeySandwich; 110550; 113100; Open fridge; Open; fridge
46; P03-R01-PastaSalad-2440336-2441660; P03-R01-PastaSalad; 2440336; 2441660; Put pasta_container; Put; pasta_container
47; P22-R03-BaconAndEggs-1671105-1673613; P22-R03-BaconAndEggs; 1671105; 1673613; Inspect/Read cheese_container; Inspect/Read; cheese_container
49; P23-R03-BaconAndEggs-1509700-1514299; P23-R03-BaconAndEggs; 1509700; 1514299; Move Around bacon; Move Around; bacon
50; P02-R05-Cheeseburger-928545-931445; P02-R05-Cheeseburger; 928545; 931445; Wash plate; Wash; plate
51; P22-R03-BaconAndEggs-982514-993330; P22-R03-BaconAndEggs; 982514; 993330; Pour seasoning,seasoning_container,salad; Pour; seasoning,seasoning_container,salad
52; OP04-R07-Pizza-546106-547235; OP04-R07-Pizza; 546106; 547235; Operate stove; Operate; stove
53; P20-R04-ContinentalBreakfast-628914-632508; P20-R04-ContinentalBreakfast; 628914; 632508; Operate stove; Operate; stove
54; P02-R01-PastaSalad-262463-265032; P02-R01-PastaSalad; 262463; 265032; Wash cucumber; Wash; cucumber
55; P06-R01-PastaSalad-205531-206669; P06-R01-PastaSalad; 205531; 206669; Take unknown; Take; unknown
56; P21-R05-Cheeseburger-690302-692990; P21-R05-Cheeseburger; 690302; 692990; Open fridge; Open; fridge
57; OP06-R03-BaconAndEggs-351950-352650; OP06-R03-BaconAndEggs; 351950; 352650; Open fridge; Open; fridge
58; P09-R01-PastaSalad-1309932-1317753; P09-R01-PastaSalad; 1309932; 1317753; Transfer pasta,strainer,bowl; Transfer; pasta,strainer,bowl
59; P21-R06-GreekSalad-758113-759463; P21-R06-GreekSalad; 758113; 759463; Turn on faucet; Turn on; faucet
60; P23-R03-BaconAndEggs-2273744-2280576; P23-R03-BaconAndEggs; 2273744; 2280576; Take paper_towel; Take; paper_towel
61; OP01-R03-BaconAndEggs-763449-790448; OP01-R03-BaconAndEggs; 763449; 790448; Transfer egg,pan,plate; Transfer; egg,pan,plate
62; P11-R01-PastaSalad-536274-538674; P11-R01-PastaSalad; 536274; 538674; Cut bell_pepper; Cut; bell_pepper
63; P25-R06-GreekSalad-267227-268428; P25-R06-GreekSalad; 267227; 268428; Open cabinet; Open; cabinet
64; OP03-R03-BaconAndEggs-431129-437765; OP03-R03-BaconAndEggs; 431129; 437765; Cut bacon; Cut; bacon
65; P17-R04-ContinentalBreakfast-145974-148253; P17-R04-ContinentalBreakfast; 145974; 148253; Close condiment_container; Close; condiment_container
66; OP03-R05-Cheeseburger-151180-152060; OP03-R05-Cheeseburger; 151180; 152060; Put unknown; Put; unknown
67; P07-R01-PastaSalad-1839320-1840370; P07-R01-PastaSalad; 1839320; 1840370; Put pan; Put; pan
68; P13-R01-PastaSalad-2698950-2701240; P13-R01-PastaSalad; 2698950; 2701240; Wash pot; Wash; pot
69; P10-R06-GreekSalad-145262-146462; P10-R06-GreekSalad; 145262; 146462; Put tomato_container; Put; tomato_container
70; P14-R02-TurkeySandwich-471036-472556; P14-R02-TurkeySandwich; 471036; 472556; Put bread_container; Put; bread_container
71; P13-R01-PastaSalad-2950420-2955115; P13-R01-PastaSalad; 2950420; 2955115; Wash sink; Wash; sink
74; OP01-R07-Pizza-835845-845955; OP01-R07-Pizza; 835845; 845955; Squeeze condiment,pizza; Squeeze; condiment,pizza
75; P06-R01-PastaSalad-687898-689853; P06-R01-PastaSalad; 687898; 689853; Open fridge; Open; fridge
76; OP01-R01-PastaSalad-614110-615705; OP01-R01-PastaSalad; 614110; 615705; Open fridge_drawer; Open; fridge_drawer
78; P03-R01-PastaSalad-1604080-1604837; P03-R01-PastaSalad; 1604080; 1604837; Put cooking_utensil; Put; cooking_utensil
79; OP03-R06-GreekSalad-643780-644810; OP03-R06-GreekSalad; 643780; 644810; Close fridge_drawer; Close; fridge_drawer
80; P22-R03-BaconAndEggs-1411829-1414510; P22-R03-BaconAndEggs; 1411829; 1414510; Operate stove; Operate; stove
81; P14-R01-PastaSalad-1320600-1322526; P14-R01-PastaSalad; 1320600; 1322526; Move Around tomato; Move Around; tomato
82; P11-R01-PastaSalad-918650-920350; P11-R01-PastaSalad; 918650; 920350; Move Around bell_pepper,eating_utensil; Move Around; bell_pepper,eating_utensil
83; OP02-R04-ContinentalBreakfast-194210-195040; OP02-R04-ContinentalBreakfast; 194210; 195040; Take lid; Take; lid
84; P25-R06-GreekSalad-531930-533538; P25-R06-GreekSalad; 531930; 533538; Put coffee_container; Put; coffee_container
85; P21-R03-BaconAndEggs-696854-698751; P21-R03-BaconAndEggs; 696854; 698751; Open fridge; Open; fridge
86; OP03-R05-Cheeseburger-138465-141135; OP03-R05-Cheeseburger; 138465; 141135; Operate stove; Operate; stove
88; P21-R05-Cheeseburger-725096-726361; P21-R05-Cheeseburger; 725096; 726361; Put sponge; Put; sponge
89; P13-R01-PastaSalad-1921314-1922500; P13-R01-PastaSalad; 1921314; 1922500; Put paper_towel; Put; paper_towel
90; OP01-R06-GreekSalad-93260-94980; OP01-R06-GreekSalad; 93260; 94980; Take cucumber; Take; cucumber
91; P25-R06-GreekSalad-634985-637178; P25-R06-GreekSalad; 634985; 637178; Open cabinet; Open; cabinet
92; P04-R01-PastaSalad-529773-532885; P04-R01-PastaSalad; 529773; 532885; Transfer pasta,bowl,pot; Transfer; pasta,bowl,pot
93; P04-R01-PastaSalad-2091031-2093641; P04-R01-PastaSalad; 2091031; 2093641; Open drawer; Open; drawer
94; P19-R03-BaconAndEggs-922790-931127; P19-R03-BaconAndEggs; 922790; 931127; Move Around bacon; Move Around; bacon
95; OP03-R04-ContinentalBreakfast-34260-35580; OP03-R04-ContinentalBreakfast; 34260; 35580; Open condiment_container; Open; condiment_container
97; P13-R01-PastaSalad-1722586-1725314; P13-R01-PastaSalad; 1722586; 1725314; Put trash,trash_container; Put; trash,trash_container
100; P03-R01-PastaSalad-1986986-1989067; P03-R01-PastaSalad; 1986986; 1989067; Transfer bell_pepper,cutting_board,grocery_bag; Transfer; bell_pepper,cutting_board,grocery_bag
101; P02-R01-PastaSalad-357751-359975; P02-R01-PastaSalad; 357751; 359975; Cut onion; Cut; onion
102; P07-R01-PastaSalad-439645-443855; P07-R01-PastaSalad; 439645; 443855; Open drawer; Open; drawer
103; P09-R01-PastaSalad-1869685-1875762; P09-R01-PastaSalad; 1869685; 1875762; Wash bowl; Wash; bowl
104; P23-R03-BaconAndEggs-1747355-1749211; P23-R03-BaconAndEggs; 1747355; 1749211; Move Around plate; Move Around; plate
105; P01-R01-PastaSalad-1295895-1297000; P01-R01-PastaSalad; 1295895; 1297000; Open washing_liquid_container; Open; washing_liquid_container
106; P13-R01-PastaSalad-1870361-1872361; P13-R01-PastaSalad; 1870361; 1872361; Take cutting_board; Take; cutting_board
107; P01-R01-PastaSalad-294266-296079; P01-R01-PastaSalad; 294266; 296079; Close plastic_bag; Close; plastic_bag
109; OP01-R01-PastaSalad-557745-559045; OP01-R01-PastaSalad; 557745; 559045; Open fridge_drawer; Open; fridge_drawer
111; P18-R03-BaconAndEggs-782223-783828; P18-R03-BaconAndEggs; 782223; 783828; Inspect/Read unknown_container; Inspect/Read; unknown_container
112; OP01-R05-Cheeseburger-524990-525560; OP01-R05-Cheeseburger; 524990; 525560; Move Around plate; Move Around; plate
115; P25-R06-GreekSalad-366529-376571; P25-R06-GreekSalad; 366529; 376571; Put coffee_machine; Put; coffee_machine
116; P02-R05-Cheeseburger-937405-942225; P02-R05-Cheeseburger; 937405; 942225; Open dishwasher; Open; dishwasher
120; P17-R04-ContinentalBreakfast-540615-541255; P17-R04-ContinentalBreakfast; 540615; 541255; Open teabag_container; Open; teabag_container
122; P04-R06-GreekSalad-1010370-1011030; P04-R06-GreekSalad; 1010370; 1011030; Take paper_towel; Take; paper_towel
123; OP03-R06-GreekSalad-381420-382060; OP03-R06-GreekSalad; 381420; 382060; Take cucumber; Take; cucumber
124; P16-R03-BaconAndEggs-1117100-1119700; P16-R03-BaconAndEggs; 1117100; 1119700; Close oil_container; Close; oil_container
125; P08-R01-PastaSalad-1668683-1691933; P08-R01-PastaSalad; 1668683; 1691933; Mix salad; Mix; salad
126; P13-R01-PastaSalad-1251604-1252835; P13-R01-PastaSalad; 1251604; 1252835; Take eating_utensil; Take; eating_utensil
127; P10-R01-PastaSalad-859563-865263; P10-R01-PastaSalad; 859563; 865263; Inspect/Read recipe; Inspect/Read; recipe
128; P11-R02-TurkeySandwich-290970-293150; P11-R02-TurkeySandwich; 290970; 293150; Take cheese_container; Take; cheese_container
129; P20-R03-BaconAndEggs-160841-162793; P20-R03-BaconAndEggs; 160841; 162793; Take plate; Take; plate
130; P10-R01-PastaSalad-1779584-1780237; P10-R01-PastaSalad; 1779584; 1780237; Put sponge; Put; sponge
133; P01-R01-PastaSalad-549863-550814; P01-R01-PastaSalad; 549863; 550814; Transfer trash,plate,trash_container; Transfer; trash,plate,trash_container
134; P08-R01-PastaSalad-376045-377810; P08-R01-PastaSalad; 376045; 377810; Put plastic_bag; Put; plastic_bag
135; P01-R01-PastaSalad-542791-543972; P01-R01-PastaSalad; 542791; 543972; Put paper_towel; Put; paper_towel
137; P25-R06-GreekSalad-960344-961561; P25-R06-GreekSalad; 960344; 961561; Close fridge_drawer; Close; fridge_drawer
138; P14-R01-PastaSalad-1782318-1783916; P14-R01-PastaSalad; 1782318; 1783916; Wash eating_utensil; Wash; eating_utensil
145; P13-R01-PastaSalad-1556941-1557847; P13-R01-PastaSalad; 1556941; 1557847; Divide/Pull Apart onion; Divide/Pull Apart; onion
146; OP01-R03-BaconAndEggs-149375-150475; OP01-R03-BaconAndEggs; 149375; 150475; Pour milk,milk_container,bowl; Pour; milk,milk_container,bowl
147; OP03-R07-Pizza-351295-352348; OP03-R07-Pizza; 351295; 352348; Take plate; Take; plate
148; OP06-R02-TurkeySandwich-262625-265055; OP06-R02-TurkeySandwich; 262625; 265055; Put lettuce; Put; lettuce
149; P10-R02-TurkeySandwich-74800-76300; P10-R02-TurkeySandwich; 74800; 76300; Take lettuce; Take; lettuce
150; P25-R06-GreekSalad-765909-766741; P25-R06-GreekSalad; 765909; 766741; Put bowl; Put; bowl
151; P22-R03-BaconAndEggs-2313466-2316625; P22-R03-BaconAndEggs; 2313466; 2316625; Take paper_towel; Take; paper_towel
152; P10-R06-GreekSalad-642367-643451; P10-R06-GreekSalad; 642367; 643451; Take eating_utensil; Take; eating_utensil
153; P15-R01-PastaSalad-986200-987900; P15-R01-PastaSalad; 986200; 987900; Put carrot_container; Put; carrot_container
154; P14-R01-PastaSalad-468995-470120; P14-R01-PastaSalad; 468995; 470120; Turn on faucet; Turn on; faucet
155; P02-R01-PastaSalad-415318-421180; P02-R01-PastaSalad; 415318; 421180; Cut tomato; Cut; tomato
156; P17-R03-BaconAndEggs-973600-976200; P17-R03-BaconAndEggs; 973600; 976200; Spread condiment,bread,eating_utensil; Spread; condiment,bread,eating_utensil
157; OP05-R03-BaconAndEggs-461740-463350; OP05-R03-BaconAndEggs; 461740; 463350; Take bacon_container; Take; bacon_container
158; P13-R01-PastaSalad-1223597-1224370; P13-R01-PastaSalad; 1223597; 1224370; Take eating_utensil; Take; eating_utensil
159; P03-R01-PastaSalad-503411-510293; P03-R01-PastaSalad; 503411; 510293; Dry strainer,paper_towel; Dry; strainer,paper_towel
160; P21-R03-BaconAndEggs-907895-924151; P21-R03-BaconAndEggs; 907895; 924151; Inspect/Read recipe; Inspect/Read; recipe
161; P18-R03-BaconAndEggs-190511-191573; P18-R03-BaconAndEggs; 190511; 191573; Open drawer; Open; drawer
162; P21-R04-ContinentalBreakfast-762838-764381; P21-R04-ContinentalBreakfast; 762838; 764381; Open fridge; Open; fridge
163; P10-R01-PastaSalad-1807492-1812486; P10-R01-PastaSalad; 1807492; 1812486; Move Around faucet; Move Around; faucet
164; P05-R01-PastaSalad-380258-381398; P05-R01-PastaSalad; 380258; 381398; Close tomato_container; Close; tomato_container
165; P22-R03-BaconAndEggs-976752-978675; P22-R03-BaconAndEggs; 976752; 978675; Open fridge; Open; fridge
166; P20-R04-ContinentalBreakfast-821491-833420; P20-R04-ContinentalBreakfast; 821491; 833420; Pour water,faucet,pot; Pour; water,faucet,pot
167; P02-R03-BaconAndEggs-1232652-1238165; P02-R03-BaconAndEggs; 1232652; 1238165; Take condiment,eating_utensil; Take; condiment,eating_utensil
168; P07-R01-PastaSalad-2306985-2307895; P07-R01-PastaSalad; 2306985; 2307895; Inspect/Read strainer; Inspect/Read; strainer
170; P23-R03-BaconAndEggs-630107-633282; P23-R03-BaconAndEggs; 630107; 633282; Pour milk,milk_container,bowl; Pour; milk,milk_container,bowl
171; P21-R05-Cheeseburger-116110-118049; P21-R05-Cheeseburger; 116110; 118049; Move Around oil_container; Move Around; oil_container
172; P10-R01-PastaSalad-1416587-1420287; P10-R01-PastaSalad; 1416587; 1420287; Take pasta; Take; pasta
173; OP01-R03-BaconAndEggs-749464-750030; OP01-R03-BaconAndEggs; 749464; 750030; Take pan; Take; pan
176; OP04-R03-BaconAndEggs-826293-829153; OP04-R03-BaconAndEggs; 826293; 829153; Open oven; Open; oven
177; OP02-R05-Cheeseburger-158265-162905; OP02-R05-Cheeseburger; 158265; 162905; Take tomato; Take; tomato
178; P24-R03-BaconAndEggs-1080024-1086470; P24-R03-BaconAndEggs; 1080024; 1086470; Open bacon_container; Open; bacon_container
179; P13-R01-PastaSalad-2102093-2105535; P13-R01-PastaSalad; 2102093; 2105535; Transfer carrot,cutting_board,bowl; Transfer; carrot,cutting_board,bowl
180; OP01-R02-TurkeySandwich-134147-144962; OP01-R02-TurkeySandwich; 134147; 144962; Cut tomato; Cut; tomato
181; P24-R03-BaconAndEggs-312022-312987; P24-R03-BaconAndEggs; 312022; 312987; Take condiment_container; Take; condiment_container
182; P13-R01-PastaSalad-2123629-2129714; P13-R01-PastaSalad; 2123629; 2129714; Cut carrot; Cut; carrot
183; P07-R01-PastaSalad-2065595-2068465; P07-R01-PastaSalad; 2065595; 2068465; Take sponge; Take; sponge
184; OP04-R02-TurkeySandwich-136070-137020; OP04-R02-TurkeySandwich; 136070; 137020; Put bread_container; Put; bread_container
186; OP01-R05-Cheeseburger-628630-629800; OP01-R05-Cheeseburger; 628630; 629800; Take sandwich; Take; sandwich
187; OP03-R03-BaconAndEggs-643934-656014; OP03-R03-BaconAndEggs; 643934; 656014; Transfer bacon,pan,plate; Transfer; bacon,pan,plate
188; OP02-R04-ContinentalBreakfast-357290-359730; OP02-R04-ContinentalBreakfast; 357290; 359730; Open fridge; Open; fridge
189; P06-R01-PastaSalad-925167-928763; P06-R01-PastaSalad; 925167; 928763; Pour seasoning,seasoning_container,salad; Pour; seasoning,seasoning_container,salad
190; OP06-R04-ContinentalBreakfast-122155-124425; OP06-R04-ContinentalBreakfast; 122155; 124425; Put plate; Put; plate
192; P17-R04-ContinentalBreakfast-753175-754092; P17-R04-ContinentalBreakfast; 753175; 754092; Put juice_container; Put; juice_container
193; P10-R05-Cheeseburger-794540-795240; P10-R05-Cheeseburger; 794540; 795240; Take condiment_container; Take; condiment_container
194; P07-R01-PastaSalad-989030-989830; P07-R01-PastaSalad; 989030; 989830; Put eating_utensil; Put; eating_utensil
195; P08-R01-PastaSalad-1259329-1276770; P08-R01-PastaSalad; 1259329; 1276770; Wash bowl; Wash; bowl
196; OP04-R06-GreekSalad-266560-267450; OP04-R06-GreekSalad; 266560; 267450; Open cheese_container; Open; cheese_container
197; P15-R01-PastaSalad-883263-899763; P15-R01-PastaSalad; 883263; 899763; Open bell_pepper_container; Open; bell_pepper_container
198; P16-R03-BaconAndEggs-530800-532200; P16-R03-BaconAndEggs; 530800; 532200; Inspect/Read cabinet; Inspect/Read; cabinet
199; OP06-R04-ContinentalBreakfast-256907-270457; OP06-R04-ContinentalBreakfast; 256907; 270457; Mix condiment,mixture; Mix; condiment,mixture
200; OP05-R03-BaconAndEggs-398760-400230; OP05-R03-BaconAndEggs; 398760; 400230; Take plate; Take; plate
201; P02-R05-Cheeseburger-855830-858080; P02-R05-Cheeseburger; 855830; 858080; Pour water,pan,sink; Pour; water,pan,sink
202; P05-R01-PastaSalad-1350471-1354272; P05-R01-PastaSalad; 1350471; 1354272; Dry hand,towel; Dry; hand,towel
203; OP01-R05-Cheeseburger-328610-329480; OP01-R05-Cheeseburger; 328610; 329480; Open fridge; Open; fridge
204; P11-R01-PastaSalad-202037-205437; P11-R01-PastaSalad; 202037; 205437; Open pasta_container; Open; pasta_container
205; P05-R01-PastaSalad-306146-310617; P05-R01-PastaSalad; 306146; 310617; Transfer pasta,pasta_container,cup; Transfer; pasta,pasta_container,cup
206; OP02-R07-Pizza-402443-403869; OP02-R07-Pizza; 402443; 403869; Take bell_pepper; Take; bell_pepper
207; P02-R03-BaconAndEggs-1411491-1412167; P02-R03-BaconAndEggs; 1411491; 1412167; Take paper_towel; Take; paper_towel
209; P19-R04-ContinentalBreakfast-659545-661064; P19-R04-ContinentalBreakfast; 659545; 661064; Put trash,trash_container; Put; trash,trash_container
210; P14-R01-PastaSalad-893549-897799; P14-R01-PastaSalad; 893549; 897799; Pour water,pot,sink; Pour; water,pot,sink
211; P13-R01-PastaSalad-1470208-1471975; P13-R01-PastaSalad; 1470208; 1471975; Take cucumber_container; Take; cucumber_container
212; P21-R03-BaconAndEggs-656391-661003; P21-R03-BaconAndEggs; 656391; 661003; Inspect/Read recipe; Inspect/Read; recipe
213; OP01-R01-PastaSalad-1390420-1391550; OP01-R01-PastaSalad; 1390420; 1391550; Pour condiment,condiment_container,salad; Pour; condiment,condiment_container,salad
214; P09-R01-PastaSalad-520214-523168; P09-R01-PastaSalad; 520214; 523168; Cut tomato; Cut; tomato
215; P13-R01-PastaSalad-1125979-1129200; P13-R01-PastaSalad; 1125979; 1129200; Put cooking_utensil; Put; cooking_utensil
216; P02-R05-Cheeseburger-430660-433320; P02-R05-Cheeseburger; 430660; 433320; Move Around patty; Move Around; patty
217; OP03-R04-ContinentalBreakfast-208064-209337; OP03-R04-ContinentalBreakfast; 208064; 209337; Open fridge; Open; fridge
218; P13-R01-PastaSalad-1448584-1450961; P13-R01-PastaSalad; 1448584; 1450961; Cut cucumber; Cut; cucumber
219; P15-R01-PastaSalad-111550-115050; P15-R01-PastaSalad; 111550; 115050; Pour water,faucet,pot; Pour; water,faucet,pot
220; P02-R05-Cheeseburger-487855-492525; P02-R05-Cheeseburger; 487855; 492525; Divide/Pull Apart bread; Divide/Pull Apart; bread
221; P09-R01-PastaSalad-956254-958285; P09-R01-PastaSalad; 956254; 958285; Cut cucumber; Cut; cucumber
222; P22-R03-BaconAndEggs-434125-435548; P22-R03-BaconAndEggs; 434125; 435548; Inspect/Read hand; Inspect/Read; hand
223; P23-R03-BaconAndEggs-1413289-1415923; P23-R03-BaconAndEggs; 1413289; 1415923; Move Around bowl; Move Around; bowl
225; P10-R01-PastaSalad-1448766-1455429; P10-R01-PastaSalad; 1448766; 1455429; Wash cutting_board; Wash; cutting_board
226; OP06-R04-ContinentalBreakfast-270550-275080; OP06-R04-ContinentalBreakfast; 270550; 275080; Close condiment_container; Close; condiment_container
227; P06-R01-PastaSalad-653127-654402; P06-R01-PastaSalad; 653127; 654402; Transfer cucumber,cutting_board,bowl; Transfer; cucumber,cutting_board,bowl
228; P10-R01-PastaSalad-223029-241129; P10-R01-PastaSalad; 223029; 241129; Cut tomato; Cut; tomato
229; P12-R02-TurkeySandwich-181267-194112; P12-R02-TurkeySandwich; 181267; 194112; Divide/Pull Apart lettuce; Divide/Pull Apart; lettuce
230; P10-R05-Cheeseburger-670095-670945; P10-R05-Cheeseburger; 670095; 670945; Put plate; Put; plate
231; P04-R06-GreekSalad-678500-679070; P04-R06-GreekSalad; 678500; 679070; Open fridge_drawer; Open; fridge_drawer
234; P05-R01-PastaSalad-1642140-1647269; P05-R01-PastaSalad; 1642140; 1647269; Inspect/Read recipe; Inspect/Read; recipe
235; OP02-R04-ContinentalBreakfast-98450-100590; OP02-R04-ContinentalBreakfast; 98450; 100590; Open microwave; Open; microwave
236; P25-R06-GreekSalad-2139052-2140084; P25-R06-GreekSalad; 2139052; 2140084; Close cabinet; Close; cabinet
237; P02-R03-BaconAndEggs-1332103-1336508; P02-R03-BaconAndEggs; 1332103; 1336508; Clean/Wipe eating_utensil,paper_towel; Clean/Wipe; eating_utensil,paper_towel
238; P18-R03-BaconAndEggs-1244084-1246932; P18-R03-BaconAndEggs; 1244084; 1246932; Open dishwasher; Open; dishwasher
239; P22-R03-BaconAndEggs-3157656-3158975; P22-R03-BaconAndEggs; 3157656; 3158975; Wash eating_utensil; Wash; eating_utensil
241; P22-R03-BaconAndEggs-3146359-3147694; P22-R03-BaconAndEggs; 3146359; 3147694; Squeeze washing_liquid,sponge; Squeeze; washing_liquid,sponge
242; P23-R03-BaconAndEggs-1575734-1576731; P23-R03-BaconAndEggs; 1575734; 1576731; Open dishwasher_rack; Open; dishwasher_rack
243; P02-R06-GreekSalad-145301-146171; P02-R06-GreekSalad; 145301; 146171; Cut tomato; Cut; tomato
244; P22-R03-BaconAndEggs-2155908-2166340; P22-R03-BaconAndEggs; 2155908; 2166340; Wash eating_utensil; Wash; eating_utensil
245; P18-R04-ContinentalBreakfast-381975-383391; P18-R04-ContinentalBreakfast; 381975; 383391; Inspect/Read cabinet; Inspect/Read; cabinet
246; P19-R03-BaconAndEggs-675152-678538; P19-R03-BaconAndEggs; 675152; 678538; Wash beater; Wash; beater
247; P07-R01-PastaSalad-463620-465440; P07-R01-PastaSalad; 463620; 465440; Inspect/Read eating_utensil; Inspect/Read; eating_utensil
248; OP02-R04-ContinentalBreakfast-409730-410760; OP02-R04-ContinentalBreakfast; 409730; 410760; Close pot; Close; pot
250; P16-R03-BaconAndEggs-80719-82441; P16-R03-BaconAndEggs; 80719; 82441; Take cooking_utensil; Take; cooking_utensil
251; OP04-R01-PastaSalad-708240-708960; OP04-R01-PastaSalad; 708240; 708960; Put cooking_utensil; Put; cooking_utensil
252; P23-R03-BaconAndEggs-1563420-1565098; P23-R03-BaconAndEggs; 1563420; 1565098; Put plate; Put; plate
253; P09-R01-PastaSalad-731294-732139; P09-R01-PastaSalad; 731294; 732139; Put pot; Put; pot
254; P12-R02-TurkeySandwich-464758-467592; P12-R02-TurkeySandwich; 464758; 467592; Open fridge; Open; fridge
